"","Entity","1960","1970","1980","1990","2000","2010","abs_chg"
"81","Guinea-Bissau",0,0,0,0,0,0,0
"82","Guyana",NA,0.007090941,0,0.387111582,6.34853035,0.042820772,0.035729831
"83","Haiti",6.980791049,0.02577957,3.239820492,0.714380629,0.158224137,8.566809413,1.586018364
"84","High income",0.0882791,0.06668673,0.095494933,0.175935139,0.158625258,0.229949915,0.141670815
"85","Honduras",0.294261058,5.346993584,0.236727802,6.48764675,0.357668133,0.057529161,-0.236731897
"86","Hong Kong",0.032130514,0.004439307,0.004215828,0.047120166,1.73e-05,0.022139583,-0.009990931
"87","Hungary",NA,0,0,0.161048764,0.033852297,0.033354306,0.033354306
"88","Iceland",NA,0.213956503,0,0.030345458,0.026590852,0,-0.213956503
"89","India",0.037350688,0.305737555,0.256701564,0.561774752,0.324941979,0.269182141,0.231831453
"90","Indonesia",0.011306142,0.127718305,0.05252825,0.585926931,0.386364478,0.101923688,0.090617546
"91","Iran",0.153294118,0.014282163,0.189721542,1.221964541,0.086027937,0.175160951,0.021866833
"92","Iraq",0.017004396,0,0,0,0.00019957,0,-0.017004396
"93","Ireland",NA,NA,0,0.040624005,0.010012893,0.013675861,0.013675861
"94","Israel",0,0,0,0.014335954,0.000207227,0.027858997,0.027858997
"95","Italy",0.299964448,0.243048318,0.460484628,0.156968247,0.137858965,0.152216184,-0.147748264
"96","Jamaica",0.144024351,0.008919588,3.247102165,0.09917202,1.281635776,0.124631346,-0.019393005
"97","Japan",0.150652975,0.041474037,0.017134132,0.257574769,0.163643405,0.525679935,0.37502696
"98","Jordan",0.037945378,0,0,0.754487205,0,0,-0.037945378
"99","Kazakhstan",0,0,0,0.017078233,0.011903391,0.006101137,0.006101137
"100","Kenya",0.000369468,0.030684605,0,0.008996801,0.062425897,0.066243265,0.065873797
"101","Kiribati",NA,0,0,0,0,0,0
"102","Kuwait",NA,NA,NA,0,0,0,0
"103","Kyrgyzstan",NA,NA,NA,0.935046837,0.02067993,0.017968972,-0.917077865
"104","Laos",0,0,0,2.51275741,0.177217202,0.23362355,0.23362355
"105","Latvia",NA,NA,NA,0.000664416,0.191635121,0,-0.000664416
"106","Lebanon",0,0,0,0.265248396,0,0,0
"107","Lesotho",0.162747779,0,0,0,0,0,-0.162747779
"108","Liberia",NA,NA,0,0,0,0,0
"109","Libya",0,0,0,0.016520431,0,0.001362995,0.001362995
"110","Lithuania",NA,NA,NA,0.000455723,0.086228968,0,-0.000455723
"111","Low income",0.31160405,0.151977461,0.231328737,2.296076042,0.696237619,0.410553094,0.098949044
"112","Lower middle income",0.121186971,0.329852357,0.30123224,0.450357131,0.293946703,0.231810754,0.110623783
"113","Luxembourg",NA,NA,0,0.290380909,0,0.005825701,0.005825701
"114","Macao",NA,NA,NA,0,0,0.281429058,0.281429058
"115","Madagascar",0.077379336,1.865370835,2.086135352,0.146248202,1.091455736,0.179906079,0.102526743
"116","Malawi",0.026055372,0,0.176076755,0.109423766,0.044768419,0.611936274,0.585880902
"117","Malaysia",0.083659862,0.095751458,0.004146451,0.035531545,0.092354403,0.012844429,-0.070815433
"118","Maldives",NA,NA,0.424721689,1.227153005,3.831828105,0,-0.424721689
"119","Mali",0,0,0,0,0,0,0
"120","Marshall Islands",NA,NA,NA,0,0,0.266573384,0.266573384
"121","Martinique",0,0,0,0,0,0,0
"122","Mauritania",1.152299655,0.316915898,0,0,0,0.002768908,-1.149530747
